time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
5.166000,-0.089968,0.128012,0.283593,-0.170176,0.021205,-0.194663,-0.009399,0.117358,#,#,#,#,#,#,#
5.268000,-0.083329,0.147020,0.259572,-0.157986,0.021235,-0.194883,-0.008038,0.127568,#,#,#,#,#,#,#
5.370000,-0.077051,0.161249,0.232679,-0.143647,0.021268,-0.195097,-0.006751,0.137692,#,#,#,#,#,#,#
5.472000,-0.070883,0.170862,0.202736,-0.127178,0.021306,-0.195310,-0.005486,0.147796,#,#,#,#,#,#,#
5.574000,-0.064711,0.175894,0.169590,-0.108628,0.021348,-0.195524,-0.004219,0.157904,#,#,#,#,#,#,#
5.676000,-0.058525,0.176732,0.133114,-0.088085,0.021460,-0.195700,-0.002944,0.168093,#,#,#,#,#,#,#
5.778000,-0.052340,0.174926,0.093143,-0.065608,0.021735,-0.195625,-0.001655,0.178702,#,#,#,#,#,#,#
5.880000,-0.046159,0.167343,0.049431,-0.041258,0.022187,-0.195642,-0.000372,0.189095,#,#,#,#,#,#,#
5.982000,-0.039985,0.153857,0.001613,-0.015155,0.022806,-0.195793,0.000903,0.199259,#,#,#,#,#,#,#
6.084000,-0.033818,0.135087,-0.050814,0.012603,0.023586,-0.195986,0.002177,0.209365,#,#,#,#,#,#,#
6.186000,-0.027656,0.111036,-0.108525,0.041944,0.024520,-0.196176,0.003452,0.219482,#,#,#,#,#,#,#
6.288000,-0.021502,0.081228,-0.172466,0.072792,0.025603,-0.196361,0.004728,0.229614,#,#,#,#,#,#,#
6.390000,-0.015355,0.044871,-0.244012,0.105030,0.026825,-0.196545,0.006005,0.239754,#,#,#,#,#,#,#
6.492000,-0.009216,0.000765,-0.325268,0.138430,0.028171,-0.196734,0.007282,0.249899,#,#,#,#,#,#,#
6.594000,-0.003086,-0.053033,-0.419677,0.172469,0.029599,-0.196930,0.008559,0.260053,#,#,#,#,#,#,#
6.696000,0.002785,-0.118792,-0.531967,0.205503,0.030970,-0.197080,0.009794,0.270180,#,#,#,#,#,#,#
6.798000,-0.000713,-0.150451,-0.605205,0.224798,0.031279,-0.194520,0.009127,0.278453,#,#,#,#,#,#,#
6.900000,-0.019212,-0.127844,-0.609721,0.229092,0.031285,-0.188755,0.005466,0.284228,#,#,#,#,#,#,#
7.002000,-0.045634,-0.088321,-0.595686,0.229458,0.031291,-0.181450,0.000510,0.289646,#,#,#,#,#,#,#
7.104000,-0.074605,-0.052681,-0.587080,0.230593,0.031301,-0.174005,-0.004541,0.295051,#,#,#,#,#,#,#
7.206000,-0.105137,-0.024786,-0.586849,0.233332,0.031314,-0.166882,-0.009487,0.300321,#,#,#,#,#,#,#
7.308000,-0.137741,-0.003479,-0.593214,0.237740,0.031332,-0.160040,-0.014417,0.305408,#,#,#,#,#,#,#
7.410000,-0.172923,0.012029,-0.607845,0.243676,0.031353,-0.153018,-0.019335,0.310725,#,#,#,#,#,#,#
7.512000,-0.210981,0.021337,-0.630905,0.250658,0.031376,-0.145871,-0.024248,0.316177,#,#,#,#,#,#,#
7.614000,-0.252148,0.023910,-0.662853,0.258085,0.031400,-0.138673,-0.029156,0.321668,#,#,#,#,#,#,#
7.716000,-0.296660,0.020877,-0.705210,0.265061,0.031424,-0.130916,-0.033898,0.327469,#,#,#,#,#,#,#
7.818000,-0.344755,0.007963,-0.760734,0.269918,0.031443,-0.123349,-0.038653,0.333134,#,#,#,#,#,#,#
7.920000,-0.396661,-0.017062,-0.833505,0.270612,0.031452,-0.116040,-0.043472,0.338629,#,#,#,#,#,#,#
8.022000,-0.452575,-0.055611,-0.929604,0.263067,0.031437,-0.108633,-0.048231,0.344072,#,#,#,#,#,#,#
8.122000,-0.511473,-0.105678,-1.051121,0.234235,0.030876,-0.101382,-0.052883,0.349042,#,#,#,#,#,#,#
8.222000,-0.577854,-0.141598,-1.139437,0.203150,0.030305,-0.095190,-0.058674,0.351826,#,#,#,#,#,#,#
8.322000,-0.652034,-0.140301,-1.130320,0.206430,0.030416,-0.091300,-0.067017,0.351326,#,#,#,#,#,#,#
8.422000,-0.727060,-0.113929,-1.062041,0.226982,0.030912,-0.088192,-0.076535,0.348928,#,#,#,#,#,#,#
8.522000,-0.798981,-0.080907,-0.984179,0.242897,0.031014,-0.084615,-0.085787,0.345886,#,#,#,#,#,#,#
8.622000,-0.866732,-0.059654,-0.928788,0.248043,0.031026,-0.080767,-0.094708,0.342902,#,#,#,#,#,#,#
8.722000,-0.930219,-0.054247,-0.898887,0.248055,0.031030,-0.076823,-0.103435,0.340231,#,#,#,#,#,#,#
8.822000,-0.989482,-0.059447,-0.886635,0.246898,0.031030,-0.072582,-0.111634,0.338017,#,#,#,#,#,#,#
8.922000,-1.044576,-0.074942,-0.885742,0.244197,0.031027,-0.068680,-0.120222,0.335572,#,#,#,#,#,#,#
9.022000,-1.095604,-0.099988,-0.894149,0.240431,0.031022,-0.065125,-0.129406,0.332707,#,#,#,#,#,#,#
9.122000,-1.142740,-0.133705,-0.915199,0.235725,0.031015,-0.061494,-0.138503,0.329914,#,#,#,#,#,#,#
9.222000,-1.186213,-0.176139,-0.950024,0.229199,0.031004,-0.057777,-0.147441,0.327222,#,#,#,#,#,#,#
9.322000,-1.226183,-0.219746,-0.988250,0.220849,0.030993,-0.053925,-0.155972,0.324464,#,#,#,#,#,#,#
9.422000,-1.262501,-0.163204,-0.890215,0.218811,0.030980,-0.048584,-0.159438,0.320766,#,#,#,#,#,#,#
9.522000,-1.298204,-0.026572,-0.703013,0.197375,0.030204,-0.041597,-0.157000,0.315515,#,#,#,#,#,#,#
9.622000,-1.336069,0.105394,-0.539770,0.159706,0.028383,-0.034094,-0.152531,0.309355,#,#,#,#,#,#,#
9.722000,-1.376956,0.210541,-0.418487,0.120520,0.026586,-0.026648,-0.148279,0.303421,#,#,#,#,#,#,#
9.822000,-1.420954,0.297119,-0.323538,0.083159,0.025035,-0.019278,-0.144433,0.297823,#,#,#,#,#,#,#
9.922000,-1.468083,0.373900,-0.242440,0.046806,0.023624,-0.011925,-0.140705,0.292294,#,#,#,#,#,#,#
10.022000,-1.518427,0.444500,-0.170020,0.011087,0.022307,-0.004569,-0.136961,0.286715,#,#,#,#,#,#,#
10.122000,-1.572066,0.509858,-0.104474,-0.023800,0.021098,0.002787,-0.133193,0.281094,#,#,#,#,#,#,#
10.222000,-1.628982,0.568356,-0.046842,-0.059587,0.019822,0.010151,-0.129681,0.275384,#,#,#,#,#,#,#
10.322000,-1.688699,0.597848,-0.033703,-0.143864,0.013869,0.017868,-0.129434,0.268707,#,#,#,#,#,#,#
10.422000,-1.749730,0.600146,-0.115624,-0.356395,-0.004225,0.025838,-0.129246,0.261817,#,#,#,#,#,#,#
10.522000,-1.778492,0.599223,-0.178180,-0.501175,-0.015978,0.029391,-0.127480,0.257316,#,#,#,#,#,#,#
10.622000,-1.772987,0.576114,-0.186155,-0.518457,-0.016613,0.029579,-0.131663,0.253855,#,#,#,#,#,#,#
10.722000,-1.757976,0.528795,-0.190662,-0.506009,-0.016574,0.029183,-0.140213,0.249564,#,#,#,#,#,#,#
10.822000,-1.743861,0.474665,-0.196941,-0.487504,-0.016526,0.028809,-0.149663,0.244860,#,#,#,#,#,#,#
10.922000,-1.732407,0.419890,-0.205378,-0.467214,-0.016408,0.028556,-0.158846,0.240191,#,#,#,#,#,#,#
11.022000,-1.722721,0.364235,-0.216448,-0.445227,-0.016140,0.028361,-0.167797,0.235614,#,#,#,#,#,#,#
11.122000,-1.714072,0.306743,-0.230502,-0.421232,-0.015682,0.028171,-0.176692,0.231071,#,#,#,#,#,#,#
11.222000,-1.706191,0.247049,-0.247752,-0.395145,-0.015025,0.027974,-0.185596,0.226526,#,#,#,#,#,#,#
11.322000,-1.698991,0.185112,-0.268385,-0.366992,-0.014170,0.027771,-0.194514,0.221973,#,#,#,#,#,#,#
11.422000,-1.692410,0.120936,-0.292600,-0.336821,-0.013123,0.027568,-0.203436,0.217415,#,#,#,#,#,#,#
11.522000,-1.686275,0.057927,-0.318815,-0.306526,-0.012061,0.027301,-0.211971,0.212991,#,#,#,#,#,#,#
11.622000,-1.678623,0.053536,-0.317478,-0.306502,-0.012196,0.025793,-0.213032,0.211690,#,#,#,#,#,#,#
11.722000,-1.668609,0.110902,-0.287133,-0.338218,-0.013666,0.022961,-0.205986,0.213939,#,#,#,#,#,#,#
11.822000,-1.657056,0.186732,-0.249602,-0.379721,-0.015806,0.019730,-0.196234,0.216928,#,#,#,#,#,#,#
11.922000,-1.644343,0.259903,-0.215992,-0.419418,-0.017740,0.016514,-0.186522,0.219719,#,#,#,#,#,#,#
12.022000,-1.630377,0.327921,-0.187612,-0.455638,-0.019340,0.013353,-0.177226,0.222368,#,#,#,#,#,#,#
12.122000,-1.614898,0.392800,-0.163334,-0.489377,-0.020707,0.010210,-0.168094,0.224991,#,#,#,#,#,#,#
12.222000,-1.597622,0.455743,-0.142382,-0.521288,-0.021903,0.007066,-0.158966,0.227620,#,#,#,#,#,#,#
12.322000,-1.578225,0.516919,-0.124490,-0.551441,-0.022935,0.003920,-0.149815,0.230248,#,#,#,#,#,#,#
12.422000,-1.556306,0.572791,-0.117145,-0.588952,-0.024663,0.000770,-0.140758,0.232789,#,#,#,#,#,#,#
12.522000,-1.531355,0.598838,-0.176529,-0.699183,-0.033233,-0.002410,-0.132221,0.234924,#,#,#,#,#,#,#
12.622000,-1.502829,0.600113,-0.286355,-0.853946,-0.045967,-0.005609,-0.123498,0.237146,#,#,#,#,#,#,#
12.722000,-1.469945,0.600016,-0.399014,-0.996756,-0.057536,-0.008721,-0.113644,0.240041,#,#,#,#,#,#,#
12.822000,-1.431686,0.600004,-0.498372,-1.112627,-0.066527,-0.011823,-0.104046,0.242847,#,#,#,#,#,#,#
12.922000,-1.386802,0.600002,-0.586648,-1.207344,-0.073475,-0.014960,-0.094823,0.245521,#,#,#,#,#,#,#
