time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
5.064000,0.917441,0.135876,-0.124190,-1.184444,-0.079078,-0.080078,0.135504,0.104732,#,#,#,#,#,#,#
5.166000,0.916427,0.141852,-0.086672,-1.226604,-0.081185,-0.076201,0.130179,0.096971,#,#,#,#,#,#,#
5.268000,0.919258,0.135697,-0.056060,-1.253452,-0.082113,-0.073022,0.126680,0.089712,#,#,#,#,#,#,#
5.370000,0.940138,0.094814,-0.049659,-1.234441,-0.081200,-0.071868,0.130409,0.083466,#,#,#,#,#,#,#
5.472000,0.970795,0.033830,-0.056291,-1.189001,-0.078569,-0.071530,0.138301,0.077143,#,#,#,#,#,#,#
5.574000,1.000963,-0.030504,-0.068488,-1.137229,-0.075458,-0.071326,0.147019,0.070976,#,#,#,#,#,#,#
5.676000,1.027943,-0.093694,-0.083548,-1.085471,-0.072379,-0.071125,0.155520,0.064982,#,#,#,#,#,#,#
5.778000,1.056385,-0.145886,-0.098057,-1.042114,-0.070094,-0.069736,0.163171,0.059994,#,#,#,#,#,#,#
5.880000,1.100453,-0.156297,-0.102347,-1.031385,-0.070000,-0.063248,0.168025,0.059222,#,#,#,#,#,#,#
5.982000,1.154341,-0.146578,-0.102394,-1.034827,-0.070013,-0.053959,0.171497,0.060810,#,#,#,#,#,#,#
6.084000,1.210170,-0.134814,-0.102603,-1.038322,-0.070019,-0.044147,0.174540,0.062816,#,#,#,#,#,#,#
6.186000,1.265432,-0.126552,-0.104606,-1.038606,-0.070016,-0.034448,0.177468,0.064628,#,#,#,#,#,#,#
6.288000,1.320030,-0.122254,-0.109565,-1.036462,-0.070003,-0.024849,0.180353,0.066305,#,#,#,#,#,#,#
6.390000,1.374001,-0.121401,-0.117578,-1.030041,-0.069981,-0.015331,0.183410,0.068075,#,#,#,#,#,#,#
6.492000,1.427150,-0.121753,-0.127930,-1.019650,-0.069952,-0.005827,0.186531,0.070245,#,#,#,#,#,#,#
6.594000,1.479209,-0.125229,-0.139936,-1.005465,-0.069916,0.003680,0.189665,0.072372,#,#,#,#,#,#,#
6.696000,1.529926,-0.132716,-0.153545,-0.987762,-0.069860,0.013187,0.192808,0.074256,#,#,#,#,#,#,#
6.798000,1.579104,-0.143527,-0.168982,-0.966853,-0.069634,0.022695,0.195956,0.076048,#,#,#,#,#,#,#
6.900000,1.626590,-0.157271,-0.186375,-0.942927,-0.069148,0.032205,0.199109,0.077836,#,#,#,#,#,#,#
7.002000,1.670732,-0.170275,-0.203021,-0.920288,-0.068672,0.041373,0.201701,0.079608,#,#,#,#,#,#,#
7.104000,1.697231,-0.149801,-0.194609,-0.937473,-0.069552,0.046469,0.198336,0.081107,#,#,#,#,#,#,#
7.206000,1.709918,-0.097830,-0.164332,-0.991427,-0.072889,0.047836,0.189484,0.082511,#,#,#,#,#,#,#
7.308000,1.720415,-0.037865,-0.129438,-1.055661,-0.077054,0.048289,0.178944,0.083763,#,#,#,#,#,#,#
7.410000,1.733013,0.020209,-0.097435,-1.118615,-0.081072,0.048901,0.168502,0.084976,#,#,#,#,#,#,#
7.512000,1.747973,0.075843,-0.068854,-1.179492,-0.084881,0.049693,0.158336,0.086200,#,#,#,#,#,#,#
7.614000,1.765046,0.130200,-0.042915,-1.239655,-0.088612,0.050535,0.148263,0.087431,#,#,#,#,#,#,#
7.716000,1.784397,0.183820,-0.019272,-1.299789,-0.092324,0.051374,0.138187,0.088661,#,#,#,#,#,#,#
7.818000,1.806495,0.236753,0.002070,-1.359983,-0.096023,0.052205,0.128096,0.089888,#,#,#,#,#,#,#
7.920000,1.831980,0.288908,0.021014,-1.420147,-0.099691,0.053035,0.117999,0.091113,#,#,#,#,#,#,#
8.022000,1.861651,0.340173,0.037460,-1.480159,-0.103306,0.053866,0.107900,0.092334,#,#,#,#,#,#,#
8.122000,1.895552,0.389473,0.050845,-1.538483,-0.106752,0.054672,0.098031,0.093562,#,#,#,#,#,#,#
8.222000,1.917344,0.440041,0.047356,-1.581764,-0.108840,0.054684,0.091058,0.097395,#,#,#,#,#,#,#
8.322000,1.916000,0.491955,0.018982,-1.599276,-0.109012,0.053723,0.088697,0.105498,#,#,#,#,#,#,#
8.422000,1.905589,0.541363,-0.020240,-1.602356,-0.109015,0.052427,0.088033,0.115521,#,#,#,#,#,#,#
8.522000,1.892974,0.582727,-0.064476,-1.603470,-0.109022,0.050927,0.087376,0.125661,#,#,#,#,#,#,#
8.622000,1.880476,0.599641,-0.131598,-1.619720,-0.109314,0.049484,0.086772,0.135757,#,#,#,#,#,#,#
8.722000,1.868121,0.600070,-0.213460,-1.644963,-0.110019,0.048082,0.086164,0.145628,#,#,#,#,#,#,#
8.822000,1.855558,0.600013,-0.295695,-1.665428,-0.110264,0.046608,0.085281,0.155653,#,#,#,#,#,#,#
8.922000,1.842638,0.600003,-0.373036,-1.676120,-0.110282,0.045145,0.084435,0.165592,#,#,#,#,#,#,#
9.022000,1.829344,0.600001,-0.444813,-1.677502,-0.110282,0.043690,0.083620,0.175421,#,#,#,#,#,#,#
