time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
5.166000,1.303081,-0.114950,0.232331,0.093203,-0.002541,-0.040214,0.224920,0.102716,#,#,#,#,#,#,#
5.268000,1.326952,-0.157272,0.169553,0.121192,-0.001761,-0.036365,0.232217,0.108726,#,#,#,#,#,#,#
5.370000,1.355131,-0.198116,0.110519,0.146019,-0.001282,-0.031051,0.239013,0.113872,#,#,#,#,#,#,#
5.472000,1.389432,-0.214906,0.089206,0.154249,-0.001279,-0.023229,0.242487,0.115211,#,#,#,#,#,#,#
5.574000,1.417684,-0.193823,0.125999,0.139278,-0.001525,-0.015842,0.240348,0.111163,#,#,#,#,#,#,#
5.676000,1.435286,-0.152699,0.192237,0.111095,-0.002446,-0.010723,0.234650,0.104305,#,#,#,#,#,#,#
5.778000,1.446358,-0.108962,0.261902,0.079871,-0.003565,-0.007222,0.227853,0.096912,#,#,#,#,#,#,#
5.880000,1.454409,-0.068569,0.327039,0.049148,-0.004618,-0.004552,0.220951,0.089655,#,#,#,#,#,#,#
5.982000,1.460602,-0.031650,0.387951,0.019004,-0.005611,-0.002398,0.214039,0.082510,#,#,#,#,#,#,#
6.084000,1.464883,0.002503,0.445875,-0.010970,-0.006582,-0.000721,0.207033,0.075387,#,#,#,#,#,#,#
6.186000,1.466709,0.034204,0.501372,-0.040908,-0.007544,0.000417,0.199896,0.068274,#,#,#,#,#,#,#
6.288000,1.466418,0.063583,0.554597,-0.070766,-0.008490,0.001127,0.192639,0.061212,#,#,#,#,#,#,#
6.390000,1.460177,0.090900,0.605357,-0.100338,-0.009395,0.000774,0.185275,0.054336,#,#,#,#,#,#,#
6.492000,1.436363,0.115618,0.648813,-0.126550,-0.009955,-0.002663,0.178399,0.048660,#,#,#,#,#,#,#
6.594000,1.391419,0.128561,0.662181,-0.134632,-0.009956,-0.010245,0.175466,0.047782,#,#,#,#,#,#,#
6.696000,1.346650,0.125951,0.643323,-0.123499,-0.009882,-0.018734,0.177066,0.051576,#,#,#,#,#,#,#
6.798000,1.311864,0.112209,0.606263,-0.101358,-0.009441,-0.026310,0.181189,0.057765,#,#,#,#,#,#,#
