time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz
56.044000,-1.804700,0.450761,-0.646189,-1.667634,-0.164934,0.027098,-0.102188,0.189440,#,#,#
57.044000,-1.244303,0.053696,-0.677193,-1.353895,-0.147838,-0.051762,-0.159974,0.168236,#,#,#
58.044000,-1.025456,-0.497382,-0.906637,-0.764783,-0.109680,-0.130799,-0.217698,0.147347,#,#,#
59.044000,-1.125762,-0.144179,-0.555802,-1.371756,-0.151989,-0.075808,-0.162594,0.111849,#,#,#
60.044000,-1.017960,0.064977,-0.254262,-1.886967,-0.180228,-0.048904,-0.081510,0.087650,#,#,#
61.044000,0.108632,0.112381,-0.058805,-1.963516,-0.179169,-0.061710,0.017058,0.076600,#,#,#
62.044000,0.984045,0.088240,-0.328946,-1.673957,-0.156401,-0.051994,0.112626,0.101911,#,#,#
63.044000,1.245623,-0.279698,-0.436739,-1.304813,-0.137867,-0.039141,0.180942,0.072378,#,#,#
64.044000,0.872689,-0.440228,-0.565930,-1.057799,-0.125788,-0.125296,0.178273,0.072912,#,#,#
65.046000,0.487503,-0.510254,-0.721977,-0.848116,-0.121649,-0.206954,0.126716,0.100171,#,#,#
66.048000,0.212590,-0.438646,-0.799133,-0.793319,-0.119204,-0.234034,0.062687,0.138306,#,#,#
67.050000,-0.085682,-0.052753,-0.731549,-1.067308,-0.128362,-0.188369,-0.007880,0.185619,#,#,#
68.052000,-0.433856,0.432598,-0.668664,-1.435024,-0.146873,-0.097629,-0.040502,0.213945,#,#,#
69.054000,-1.443564,0.595921,-0.828833,-1.518211,-0.152119,-0.006769,-0.072788,0.242411,#,#,#
70.056000,-2.191752,0.531755,-0.700118,-1.634868,-0.172957,0.057456,-0.079366,0.207865,#,#,#
71.058000,-1.450128,0.279700,-0.649261,-1.528335,-0.168637,-0.013066,-0.131693,0.182465,#,#,#
72.060000,-1.110154,-0.197079,-0.768340,-1.072987,-0.141435,-0.092242,-0.189555,0.161571,#,#,#
73.062000,-1.055273,-0.307213,-0.736222,-1.046842,-0.141543,-0.108369,-0.193646,0.133772,#,#,#
74.064000,-1.227829,-0.004567,-0.387681,-1.649927,-0.180859,-0.043597,-0.128526,0.097532,#,#,#
75.066000,-0.540683,0.169471,-0.111379,-2.000035,-0.195551,-0.056127,-0.030460,0.085677,#,#,#
76.068000,0.674630,0.172063,-0.199853,-1.866850,-0.178690,-0.057054,0.066752,0.092921,#,#,#
77.070000,1.181925,-0.045935,-0.427942,-1.438368,-0.150818,-0.042512,0.156994,0.106026,#,#,#
78.072000,1.073173,-0.455694,-0.547096,-1.060570,-0.134117,-0.086300,0.200579,0.066183,#,#,#
79.074000,0.658340,-0.427641,-0.626363,-0.980743,-0.133921,-0.168086,0.151164,0.091674,#,#,#
80.076000,0.330858,-0.646157,-0.878028,-0.601776,-0.117731,-0.248010,0.099213,0.118352,#,#,#
81.078000,0.052832,-0.232434,-0.766644,-0.915428,-0.130790,-0.215152,0.021394,0.169208,#,#,#
82.080000,-0.221649,0.225788,-0.679223,-1.271554,-0.148084,-0.140530,-0.024838,0.204696,#,#,#
83.082000,-0.860962,0.597365,-0.718024,-1.475826,-0.156107,-0.050070,-0.057861,0.232981,#,#,#
84.084000,-1.960713,0.509369,-0.857042,-1.387617,-0.160683,0.037463,-0.086387,0.253535,#,#,#
85.086000,-1.775173,0.458380,-0.657649,-1.614344,-0.182806,0.024416,-0.104130,0.196741,#,#,#
86.088000,-1.232633,0.055010,-0.690862,-1.300619,-0.165279,-0.054607,-0.162071,0.175482,#,#,#
87.090000,-1.021328,-0.504280,-0.924382,-0.712149,-0.127240,-0.132992,-0.219200,0.154430,#,#,#
88.092000,-1.132890,-0.098842,-0.546501,-1.374276,-0.173251,-0.073135,-0.160047,0.118397,#,#,#
89.094000,-0.990504,0.135558,-0.259823,-1.892586,-0.200838,-0.049492,-0.077391,0.095203,#,#,#
90.096000,0.164677,0.189841,-0.090368,-1.958600,-0.196150,-0.061785,0.021326,0.084830,#,#,#
91.098000,1.005485,0.125212,-0.350793,-1.632676,-0.169324,-0.051523,0.117034,0.111107,#,#,#
92.100000,1.227614,-0.256424,-0.444938,-1.274674,-0.152001,-0.043443,0.182923,0.079368,#,#,#
93.102000,0.851618,-0.404595,-0.568390,-1.044193,-0.141157,-0.129355,0.175699,0.082173,#,#,#
94.104000,0.471195,-0.497686,-0.736584,-0.810109,-0.135970,-0.211060,0.124166,0.109477,#,#,#
95.106000,0.198893,-0.402447,-0.800697,-0.780925,-0.134306,-0.232264,0.058774,0.148867,#,#,#
96.108000,-0.095428,-0.014886,-0.733891,-1.051472,-0.143584,-0.183745,-0.009412,0.195035,#,#,#
97.110000,-0.463726,0.458458,-0.681811,-1.392128,-0.160114,-0.093167,-0.042168,0.223297,#,#,#
98.112000,-1.505153,0.589689,-0.841371,-1.442086,-0.165153,-0.002270,-0.074348,0.251844,#,#,#
99.114000,-2.193765,0.541394,-0.696533,-1.592686,-0.190267,0.057949,-0.079588,0.212415,#,#,#
100.116000,-1.424038,0.278212,-0.659112,-1.466996,-0.182932,-0.017008,-0.134597,0.189373,#,#,#
101.118000,-1.099868,-0.208835,-0.785565,-1.007437,-0.155332,-0.096204,-0.192465,0.168524,#,#,#
102.120000,-1.061198,-0.262527,-0.718840,-1.053333,-0.160359,-0.105022,-0.190466,0.139950,#,#,#
103.122000,-1.220197,0.057262,-0.379100,-1.656715,-0.199611,-0.043061,-0.124157,0.104647,#,#,#
104.124000,-0.477159,0.248262,-0.131686,-2.000031,-0.210825,-0.056813,-0.025534,0.093135,#,#,#
105.126000,0.715930,0.228735,-0.234409,-1.838940,-0.189779,-0.056488,0.071486,0.102407,#,#,#
106.128000,1.199074,-0.032686,-0.432824,-1.413198,-0.162224,-0.040523,0.159692,0.110319,#,#,#
107.130000,1.055014,-0.426175,-0.552728,-1.046439,-0.146639,-0.090535,0.199849,0.074527,#,#,#
108.132000,0.639293,-0.405351,-0.638443,-0.956265,-0.146319,-0.172180,0.148616,0.100972,#,#,#
109.134000,0.318682,-0.624947,-0.887998,-0.581399,-0.129772,-0.248721,0.095865,0.128259,#,#,#
110.136000,0.035964,-0.208369,-0.780299,-0.890319,-0.141849,-0.213362,0.017474,0.179766,#,#,#
111.138000,-0.238811,0.255414,-0.692904,-1.244778,-0.159329,-0.136015,-0.026472,0.214147,#,#,#
112.140000,-0.915455,0.599387,-0.746901,-1.425611,-0.166523,-0.045556,-0.059519,0.242421,#,#,#
113.142000,-1.987563,0.512164,-0.848746,-1.342236,-0.171961,0.039926,-0.085965,0.257697,#,#,#
114.144000,-1.733590,0.461147,-0.662766,-1.553307,-0.193604,0.020490,-0.106995,0.203714,#,#,#
115.146000,-1.217134,0.049260,-0.701347,-1.235184,-0.175714,-0.058560,-0.164976,0.182437,#,#,#
116.148000,-1.019087,-0.500200,-0.930209,-0.670054,-0.139440,-0.133954,-0.219589,0.161068,#,#,#
117.150000,-1.142268,-0.047878,-0.529455,-1.376846,-0.188304,-0.069790,-0.156858,0.124576,#,#,#
118.152000,-0.955693,0.211398,-0.261367,-1.893279,-0.214643,-0.050189,-0.072481,0.102666,#,#,#
119.154000,0.226757,0.257989,-0.130889,-1.953525,-0.205772,-0.061592,0.026141,0.093544,#,#,#
120.156000,1.027472,0.150227,-0.380279,-1.592076,-0.175887,-0.051010,0.121829,0.120416,#,#,#
121.158000,1.208481,-0.240207,-0.461375,-1.247967,-0.160142,-0.048124,0.184946,0.086387,#,#,#
122.160000,0.830652,-0.375036,-0.579510,-1.033400,-0.150501,-0.133452,0.173167,0.091462,#,#,#
123.162000,0.455171,-0.491649,-0.759608,-0.774368,-0.144009,-0.215169,0.121616,0.118784,#,#,#
124.164000,0.184890,-0.372190,-0.810941,-0.770459,-0.143025,-0.230496,0.054860,0.159427,#,#,#
125.166000,-0.105733,0.016845,-0.745038,-1.038569,-0.152525,-0.179132,-0.010957,0.204444,#,#,#
126.168000,-0.495545,0.475753,-0.703732,-1.352305,-0.167019,-0.088689,-0.043832,0.232701,#,#,#
127.170000,-1.565206,0.580637,-0.848644,-1.359039,-0.170542,0.002224,-0.075966,0.261280,#,#,#
128.172000,-2.176583,0.551929,-0.690848,-1.540953,-0.197566,0.056970,-0.080788,0.217953,#,#,#
129.172000,-1.400292,0.277324,-0.663471,-1.400713,-0.189372,-0.020795,-0.137388,0.196338,#,#,#
130.172000,-1.090791,-0.219775,-0.798524,-0.937995,-0.161577,-0.099851,-0.195146,0.175560,#,#,#
131.172000,-1.066604,-0.218964,-0.699680,-1.049826,-0.171133,-0.102091,-0.187681,0.146350,#,#,#
132.172000,-1.208766,0.121198,-0.369591,-1.652347,-0.210137,-0.043193,-0.120245,0.112095,#,#,#
133.172000,-0.424761,0.315197,-0.162514,-2.000037,-0.218594,-0.057387,-0.021611,0.100712,#,#,#
134.172000,0.745665,0.272340,-0.270494,-1.815374,-0.194759,-0.056092,0.075110,0.111421,#,#,#
135.172000,1.211196,-0.018649,-0.445648,-1.396813,-0.167952,-0.039068,0.161587,0.115577,#,#,#
136.172000,1.041579,-0.396719,-0.562781,-1.042864,-0.153261,-0.093374,0.198739,0.083028,#,#,#
137.172000,0.627249,-0.387025,-0.655465,-0.939406,-0.152731,-0.174808,0.146995,0.109791,#,#,#
138.172000,0.311606,-0.606249,-0.902063,-0.568119,-0.135772,-0.248503,0.093722,0.137636,#,#,#
139.172000,0.026394,-0.197192,-0.802065,-0.864334,-0.146802,-0.212376,0.015282,0.189126,#,#,#
140.172000,-0.248099,0.266761,-0.716067,-1.213656,-0.164056,-0.133669,-0.027320,0.222902,#,#,#
141.172000,-0.942404,0.598267,-0.762753,-1.365265,-0.169423,-0.043400,-0.060320,0.251106,#,#,#
142.172000,-1.998902,0.514074,-0.842084,-1.281115,-0.174984,0.040930,-0.085697,0.263806,#,#,#
143.172000,-1.717546,0.472679,-0.662438,-1.490736,-0.196771,0.018925,-0.108131,0.211301,#,#,#
144.172000,-1.211743,0.058956,-0.702636,-1.178321,-0.179452,-0.059984,-0.166034,0.190056,#,#,#
145.172000,-1.019022,-0.488619,-0.930580,-0.629144,-0.144315,-0.133846,-0.219380,0.168605,#,#,#
146.172000,-1.144945,-0.006152,-0.519316,-1.351356,-0.194390,-0.068858,-0.155971,0.132085,#,#,#
147.172000,-0.946948,0.283697,-0.266920,-1.869705,-0.220539,-0.050354,-0.071307,0.110570,#,#,#
148.172000,0.238972,0.314682,-0.171241,-1.953754,-0.210868,-0.061529,0.027093,0.101751,#,#,#
149.172000,1.030866,0.177618,-0.405630,-1.576363,-0.179313,-0.050937,0.122601,0.128610,#,#,#
150.172000,1.206268,-0.213212,-0.477159,-1.244811,-0.164473,-0.048688,0.185204,0.094263,#,#,#
151.172000,0.829035,-0.351298,-0.594042,-1.030314,-0.155097,-0.133809,0.173009,0.099556,#,#,#
152.172000,0.454580,-0.478062,-0.776896,-0.761897,-0.148071,-0.215354,0.121533,0.126831,#,#,#
153.172000,0.184930,-0.367577,-0.833840,-0.747740,-0.146209,-0.230514,0.054870,0.167431,#,#,#
154.172000,-0.105270,0.014142,-0.772120,-1.004583,-0.155160,-0.179327,-0.010892,0.212397,#,#,#
155.172000,-0.492834,0.465986,-0.732179,-1.308514,-0.168785,-0.089081,-0.043708,0.240589,#,#,#
156.172000,-1.557979,0.579473,-0.844760,-1.283625,-0.169846,0.001675,-0.075778,0.269114,#,#,#
157.172000,-2.180686,0.564942,-0.688030,-1.472239,-0.197803,0.057350,-0.080692,0.226165,#,#,#
158.172000,-1.404198,0.300324,-0.659546,-1.345848,-0.190586,-0.020160,-0.136941,0.204505,#,#,#
159.172000,-1.092349,-0.200010,-0.793671,-0.893798,-0.163750,-0.099225,-0.194706,0.183724,#,#,#
160.172000,-1.065569,-0.198113,-0.695733,-1.002946,-0.173303,-0.102635,-0.188201,0.154659,#,#,#
161.172000,-1.211196,0.172329,-0.366252,-1.613578,-0.213054,-0.043137,-0.121012,0.120230,#,#,#
162.172000,-0.435543,0.378664,-0.198864,-1.990244,-0.221548,-0.057248,-0.022409,0.108842,#,#,#
163.172000,0.739471,0.314833,-0.298037,-1.809016,-0.196400,-0.056187,0.074346,0.119180,#,#,#
164.172000,1.208498,0.011269,-0.465612,-1.389159,-0.169099,-0.039393,0.161154,0.124201,#,#,#
165.172000,1.044867,-0.370810,-0.574649,-1.042469,-0.155107,-0.092715,0.199066,0.090893,#,#,#
166.172000,0.630309,-0.367144,-0.669413,-0.933684,-0.154496,-0.174171,0.147428,0.117567,#,#,#
167.172000,0.313517,-0.603818,-0.924071,-0.545260,-0.136298,-0.248642,0.094323,0.145246,#,#,#
168.172000,0.029185,-0.200096,-0.827785,-0.833690,-0.146817,-0.212692,0.015918,0.196659,#,#,#
169.172000,-0.245162,0.258148,-0.744379,-1.172878,-0.163415,-0.134400,-0.027054,0.230674,#,#,#
170.172000,-0.933177,0.588640,-0.777513,-1.308632,-0.167521,-0.044155,-0.060074,0.258592,#,#,#
171.172000,-1.994768,0.510772,-0.839826,-1.197807,-0.171580,0.040570,-0.085816,0.272512,#,#,#
172.172000,-1.724043,0.492698,-0.655968,-1.425281,-0.194718,0.019558,-0.107651,0.219464,#,#,#
173.172000,-1.214162,0.081677,-0.694946,-1.126138,-0.178631,-0.059354,-0.165592,0.198216,#,#,#
174.172000,-1.019029,-0.482512,-0.933278,-0.574061,-0.143427,-0.133954,-0.219562,0.176834,#,#,#
175.172000,-1.143353,0.029069,-0.510577,-1.304999,-0.194331,-0.069402,-0.156491,0.140407,#,#,#
176.172000,-0.952819,0.352733,-0.269423,-1.828359,-0.221012,-0.050237,-0.072098,0.118705,#,#,#
177.172000,0.229085,0.382841,-0.194083,-1.937220,-0.210593,-0.061578,0.026315,0.109622,#,#,#
178.172000,1.027415,0.218429,-0.409436,-1.550991,-0.178124,-0.051030,0.121840,0.136375,#,#,#
179.172000,1.209332,-0.173561,-0.474085,-1.230384,-0.163805,-0.047935,0.184903,0.102409,#,#,#
180.172000,0.832427,-0.321750,-0.591910,-1.011842,-0.154424,-0.133187,0.173465,0.107339,#,#,#
181.172000,0.457157,-0.457653,-0.777614,-0.738289,-0.147072,-0.214721,0.121963,0.134614,#,#,#
182.172000,0.187216,-0.362597,-0.843630,-0.706858,-0.143958,-0.230815,0.055508,0.175024,#,#,#
183.172000,-0.103571,0.013175,-0.783715,-0.951039,-0.152240,-0.180075,-0.010640,0.220179,#,#,#
184.172000,-0.487602,0.461766,-0.741770,-1.247391,-0.164998,-0.089832,-0.043452,0.248362,#,#,#
185.172000,-1.548397,0.578122,-0.835890,-1.202615,-0.165257,0.000946,-0.075527,0.276903,#,#,#
186.172000,-2.184332,0.578074,-0.679278,-1.397001,-0.193804,0.057626,-0.080531,0.234467,#,#,#
187.172000,-1.408178,0.323139,-0.649892,-1.283914,-0.187747,-0.019524,-0.136495,0.212669,#,#,#
188.172000,-1.093940,-0.180866,-0.785080,-0.842759,-0.161945,-0.098599,-0.194268,0.191888,#,#,#
189.172000,-1.064565,-0.177891,-0.687749,-0.949212,-0.171497,-0.103178,-0.188719,0.162966,#,#,#
190.172000,-1.213555,0.223582,-0.356938,-1.566747,-0.211878,-0.043094,-0.121774,0.128368,#,#,#
191.172000,-0.446217,0.464382,-0.208341,-1.948983,-0.220631,-0.057126,-0.023203,0.116980,#,#,#
192.172000,0.733168,0.382018,-0.290995,-1.767422,-0.194988,-0.056287,0.073586,0.126920,#,#,#
193.172000,1.205771,0.058812,-0.450395,-1.346930,-0.167354,-0.039720,0.160724,0.132821,#,#,#
194.172000,1.048101,-0.331066,-0.554092,-1.009715,-0.154069,-0.092053,0.199371,0.098754,#,#,#
195.172000,0.633363,-0.335041,-0.651939,-0.896444,-0.153394,-0.173534,0.147861,0.125340,#,#,#
196.172000,0.315426,-0.594434,-0.921464,-0.494728,-0.134252,-0.248752,0.094918,0.152870,#,#,#
197.172000,0.031954,-0.192187,-0.822300,-0.771761,-0.143984,-0.212999,0.016555,0.204237,#,#,#
198.172000,-0.242277,0.264631,-0.735557,-1.098714,-0.159729,-0.135127,-0.026788,0.238446,#,#,#
199.172000,-0.924107,0.589121,-0.766395,-1.227055,-0.163233,-0.044916,-0.059843,0.266322,#,#,#
200.172000,-1.990651,0.506101,-0.833179,-1.107478,-0.167059,0.040209,-0.085932,0.281204,#,#,#
201.172000,-1.730604,0.512349,-0.643302,-1.352540,-0.191449,0.020191,-0.107172,0.227628,#,#,#
202.172000,-1.216607,0.104085,-0.682326,-1.066429,-0.176621,-0.058724,-0.165152,0.206377,#,#,#
203.172000,-1.019083,-0.478727,-0.934751,-0.511891,-0.141385,-0.134020,-0.219697,0.185062,#,#,#
