time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz
246.172000,-1.097129,-0.149368,-0.766255,-0.725303,-0.162407,-0.097350,-0.193394,0.208220,#,#,#
247.172000,-1.062550,-0.144307,-0.669103,-0.826643,-0.171983,-0.104261,-0.189751,0.179571,#,#,#
248.172000,-1.217790,0.319596,-0.328746,-1.455292,-0.213357,-0.043051,-0.123272,0.144650,#,#,#
249.172000,-0.467189,0.599775,-0.228384,-1.863287,-0.222224,-0.056796,-0.024735,0.132827,#,#,#
250.172000,0.720453,0.486907,-0.295900,-1.692450,-0.196703,-0.056481,0.072059,0.142434,#,#,#
251.172000,1.200323,0.132582,-0.443800,-1.272798,-0.168489,-0.040374,0.159866,0.150056,#,#,#
252.172000,1.054464,-0.266166,-0.536126,-0.956471,-0.156360,-0.090727,0.199917,0.114480,#,#,#
253.172000,0.639512,-0.285589,-0.640481,-0.833587,-0.155542,-0.172261,0.148728,0.140892,#,#,#
254.172000,0.319286,-0.592236,-0.941896,-0.400306,-0.134110,-0.248886,0.096092,0.168151,#,#,#
255.172000,0.037490,-0.195063,-0.838294,-0.657659,-0.142705,-0.213631,0.017828,0.219349,#,#,#
256.172000,-0.236544,0.256506,-0.745591,-0.963566,-0.157188,-0.136585,-0.026257,0.253981,#,#,#
257.172000,-0.906063,0.568196,-0.772781,-1.078227,-0.159852,-0.046448,-0.059390,0.281800,#,#,#
258.172000,-1.982207,0.475080,-0.844744,-0.933006,-0.163240,0.039474,-0.086165,0.298548,#,#,#
259.172000,-1.743794,0.530942,-0.637987,-1.215909,-0.190469,0.021457,-0.106217,0.243962,#,#,#
260.172000,-1.221513,0.131377,-0.677924,-0.954125,-0.177795,-0.057464,-0.164272,0.222704,#,#,#
261.172000,-1.019398,-0.490378,-0.963376,-0.388453,-0.141902,-0.134002,-0.219852,0.201505,#,#,#
262.172000,-1.138635,0.115427,-0.487525,-1.149794,-0.195719,-0.071033,-0.158050,0.165359,#,#,#
263.172000,-0.970005,0.526168,-0.266708,-1.678957,-0.223111,-0.049877,-0.074455,0.143089,#,#,#
264.172000,0.199286,0.556436,-0.255701,-1.857509,-0.214221,-0.061742,0.023985,0.133214,#,#,#
265.172000,1.016926,0.321615,-0.426540,-1.462510,-0.180210,-0.051314,0.119562,0.159675,#,#,#
266.172000,1.218650,-0.067935,-0.474332,-1.175880,-0.166760,-0.045680,0.184002,0.126866,#,#,#
267.172000,0.842649,-0.245099,-0.595220,-0.947390,-0.157559,-0.131290,0.174805,0.130842,#,#,#
268.172000,0.464957,-0.410591,-0.791680,-0.657187,-0.149164,-0.212828,0.123257,0.157966,#,#,#
269.172000,0.194050,-0.367544,-0.889092,-0.570872,-0.142104,-0.231717,0.057420,0.197797,#,#,#
270.172000,-0.098538,-0.011183,-0.833172,-0.778928,-0.148908,-0.182329,-0.009889,0.243513,#,#,#
271.172000,-0.472143,0.428934,-0.781819,-1.057827,-0.159776,-0.092080,-0.042678,0.271696,#,#,#
272.172000,-1.519206,0.529815,-0.870054,-0.988423,-0.159933,-0.001242,-0.074791,0.300237,#,#,#
273.172000,-2.192057,0.569846,-0.709956,-1.202818,-0.191401,0.058060,-0.079984,0.259657,#,#,#
274.172000,-1.420215,0.346592,-0.676068,-1.127567,-0.188006,-0.017618,-0.135160,0.237178,#,#,#
275.172000,-1.098728,-0.159628,-0.813562,-0.712193,-0.164561,-0.096726,-0.192959,0.216395,#,#,#
276.172000,-1.061538,-0.155258,-0.717684,-0.813197,-0.174366,-0.104803,-0.190267,0.187867,#,#,#
277.172000,-1.219639,0.321918,-0.378227,-1.453043,-0.216783,-0.043058,-0.124017,0.152785,#,#,#
278.172000,-0.477551,0.600014,-0.300348,-1.874344,-0.225431,-0.056655,-0.025514,0.140925,#,#,#
279.172000,0.714040,0.483907,-0.364626,-1.710749,-0.199866,-0.056574,0.071293,0.150216,#,#,#
280.172000,1.197603,0.129313,-0.508491,-1.291746,-0.171322,-0.040701,0.159437,0.158675,#,#,#
281.172000,1.057587,-0.263627,-0.589828,-0.984466,-0.159499,-0.090063,0.200153,0.122372,#,#,#
282.172000,0.642607,-0.288287,-0.695315,-0.854306,-0.158521,-0.171626,0.149163,0.148679,#,#,#
283.172000,0.321234,-0.611903,-1.001581,-0.391925,-0.134715,-0.248905,0.096669,0.175820,#,#,#
284.172000,0.040253,-0.223753,-0.906467,-0.648519,-0.143568,-0.214003,0.018467,0.226776,#,#,#
285.172000,-0.233695,0.217771,-0.821610,-0.951820,-0.158219,-0.137321,-0.025993,0.261744,#,#,#
286.172000,-0.897096,0.520113,-0.851281,-1.061151,-0.160685,-0.047214,-0.059161,0.289558,#,#,#
287.172000,-1.977902,0.421448,-0.927868,-0.901686,-0.163889,0.039101,-0.086278,0.307201,#,#,#
288.172000,-1.750414,0.496704,-0.715678,-1.211843,-0.193425,0.022090,-0.105736,0.252133,#,#,#
289.172000,-1.223969,0.108894,-0.750062,-0.958634,-0.181354,-0.056833,-0.163830,0.230882,#,#,#
