time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
5.064000,1.231799,-0.093065,0.090948,-0.752917,-0.052319,-0.042341,0.182384,0.056922,#,#,#,#,#,#,#
5.166000,1.193060,-0.142161,0.062869,-0.709842,-0.050125,-0.051883,0.186488,0.054989,#,#,#,#,#,#,#
5.268000,1.157918,-0.193437,0.032233,-0.665590,-0.047814,-0.061235,0.190580,0.052927,#,#,#,#,#,#,#
5.370000,1.126435,-0.246844,-0.001135,-0.620178,-0.045387,-0.070323,0.194727,0.050750,#,#,#,#,#,#,#
5.472000,1.097430,-0.302024,-0.037463,-0.573678,-0.042851,-0.079334,0.198886,0.048549,#,#,#,#,#,#,#
5.574000,1.065143,-0.336576,-0.063486,-0.542627,-0.041713,-0.088162,0.200351,0.047714,#,#,#,#,#,#,#
5.676000,1.024454,-0.334314,-0.068314,-0.538895,-0.041717,-0.096660,0.196875,0.049319,#,#,#,#,#,#,#
5.778000,0.980235,-0.319997,-0.068289,-0.542120,-0.041728,-0.105151,0.191733,0.052265,#,#,#,#,#,#,#
5.880000,0.935839,-0.306582,-0.068326,-0.544135,-0.041733,-0.113472,0.186242,0.055134,#,#,#,#,#,#,#
5.982000,0.892028,-0.297272,-0.070028,-0.544022,-0.041730,-0.121617,0.180698,0.057541,#,#,#,#,#,#,#
6.084000,0.848748,-0.291769,-0.075646,-0.541531,-0.041718,-0.129780,0.175279,0.059982,#,#,#,#,#,#,#
6.186000,0.805995,-0.289709,-0.084990,-0.535443,-0.041699,-0.138061,0.170015,0.062632,#,#,#,#,#,#,#
6.288000,0.763887,-0.289703,-0.097186,-0.526259,-0.041675,-0.146382,0.164787,0.065613,#,#,#,#,#,#,#
6.390000,0.722565,-0.291796,-0.111710,-0.514129,-0.041644,-0.154692,0.159545,0.068845,#,#,#,#,#,#,#
6.492000,0.682151,-0.298366,-0.128488,-0.499048,-0.041608,-0.163004,0.154303,0.071762,#,#,#,#,#,#,#
6.594000,0.642748,-0.308941,-0.147724,-0.481180,-0.041566,-0.171323,0.149066,0.074485,#,#,#,#,#,#,#
6.696000,0.604438,-0.322927,-0.169604,-0.460655,-0.041429,-0.179647,0.143831,0.077176,#,#,#,#,#,#,#
6.798000,0.567285,-0.340213,-0.194266,-0.437523,-0.041074,-0.187975,0.138596,0.079881,#,#,#,#,#,#,#
6.900000,0.531338,-0.360880,-0.221837,-0.411814,-0.040480,-0.196305,0.133360,0.082596,#,#,#,#,#,#,#
7.002000,0.496630,-0.385080,-0.252515,-0.383516,-0.039642,-0.204638,0.128124,0.085310,#,#,#,#,#,#,#
7.104000,0.463179,-0.412975,-0.286557,-0.352602,-0.038556,-0.212975,0.122887,0.088022,#,#,#,#,#,#,#
7.206000,0.430993,-0.444786,-0.324316,-0.319009,-0.037215,-0.221315,0.117650,0.090732,#,#,#,#,#,#,#
7.308000,0.400064,-0.480836,-0.366276,-0.282623,-0.035609,-0.229659,0.112412,0.093441,#,#,#,#,#,#,#
7.410000,0.370380,-0.521593,-0.413114,-0.243262,-0.033720,-0.238007,0.107174,0.096148,#,#,#,#,#,#,#
7.512000,0.342065,-0.563456,-0.462011,-0.203723,-0.031810,-0.245974,0.101836,0.098923,#,#,#,#,#,#,#
